Tensor_id,ActiveTime,InactiveTime
1904,3,2316
1905,1151,1168
1907,3,2316
1908,3,2316
1909,3,2316
1910,2,2317
1911,2,2317
1912,1146,1173
1913,29,2290
1914,2,2317
1916,3,2316
1917,4,2315
1918,1136,1183
1919,4,2315
1921,2,2317
1922,1,2318
1923,1,2318
1924,1137,1182
1925,1137,1182
1926,1,2318
1927,1,2318
1928,1,2318
1929,1,2318
1932,2,2317
1933,2,2317
1935,3,2316
1936,3,2316
1937,1127,1192
1938,4,2315
1940,2,2317
1941,1,2318
1942,1,2318
1943,1128,1191
1944,1128,1191
1945,1,2318
1946,1,2318
1947,1,2318
1948,1,2318
1951,2,2317
1952,2,2317
1954,3,2316
1955,3,2316
1956,1118,1201
1957,4,2315
1959,2,2317
1960,1,2318
1961,1,2318
1962,1119,1200
1963,1119,1200
1964,1,2318
1965,1,2318
1966,1,2318
1967,1,2318
1970,1114,1205
1971,2,2317
1972,1112,1207
1974,3,2316
1975,3,2316
1976,3,2316
1977,1106,1213
1979,3,2316
1980,3,2316
1981,3,2316
1982,2,2317
1983,2,2317
1984,1101,1218
1985,29,2290
1986,2,2317
1988,3,2316
1989,4,2315
1990,1091,1228
1991,4,2315
1993,2,2317
1994,1,2318
1995,1,2318
1996,1092,1227
1997,1092,1227
1998,1,2318
1999,1,2318
2000,1,2318
2001,1,2318
2004,2,2317
2005,2,2317
2007,3,2316
2008,3,2316
2009,1082,1237
2010,4,2315
2012,2,2317
2013,1,2318
2014,1,2318
2015,1083,1236
2016,1083,1236
2017,1,2318
2018,1,2318
2019,1,2318
2020,1,2318
2023,2,2317
2024,2,2317
2026,3,2316
2027,3,2316
2028,1073,1246
2029,4,2315
2031,2,2317
2032,1,2318
2033,1,2318
2034,1074,1245
2035,1074,1245
2036,1,2318
2037,1,2318
2038,1,2318
2039,1,2318
2042,1069,1250
2043,2,2317
2044,1067,1252
2046,3,2316
2047,3,2316
2048,3,2316
2049,1061,1258
2051,3,2316
2052,3,2316
2053,3,2316
2054,2,2317
2055,2,2317
2056,1056,1263
2057,29,2290
2058,2,2317
2060,3,2316
2061,4,2315
2062,1046,1273
2063,4,2315
2065,2,2317
2066,1,2318
2067,1,2318
2068,1047,1272
2069,1047,1272
2070,1,2318
2071,1,2318
2072,1,2318
2073,1,2318
2076,2,2317
2077,2,2317
2079,3,2316
2080,3,2316
2081,1037,1282
2082,4,2315
2084,2,2317
2085,1,2318
